iter	RMSE
153	0.3749970299
154	0.3749887703
155	0.374963073
156	0.3749434743
157	0.374930254
158	0.3749182239
159	0.3749041458
160	0.3748904899
161	0.3748747039
162	0.3748632146
163	0.3748416016
164	0.3748317037
165	0.3748186416
166	0.3747852681
167	0.3747762236
168	0.3747578504
169	0.3747421849
170	0.3747212451
171	0.3747107541
172	0.3746908604
173	0.3746763531
174	0.3746499511
175	0.3746318842
176	0.3746244327
177	0.3746163544
178	0.3746023292
179	0.3745932221
180	0.3745856236
181	0.3745682353
182	0.3745542376
183	0.3745253979
184	0.3745124256
185	0.3744915093
186	0.3744825027
187	0.3744635318
188	0.3744536552
189	0.3744454094
190	0.3744355287
191	0.3744208186
192	0.374404932
193	0.3743915382
194	0.3743755148
195	0.3743475727
196	0.3743394811
197	0.3743282917
198	0.3743167841
199	0.3742936631
200	0.3742765653
201	0.3742694014
202	0.3742581572
203	0.3742299745
204	0.374215439
205	0.3742031144
206	0.374198382
207	0.3741860857
208	0.3741787835
209	0.3741540204
210	0.3741405499
211	0.3741334326
212	0.3741207753
213	0.3741078689
214	0.3741034356
215	0.3740913235
216	0.3740770554
217	0.3740624835
218	0.3740575009
219	0.3740495288
220	0.374039041
221	0.374032206
222	0.3740239172
223	0.3740016968
224	0.3739855241
225	0.373974019
226	0.3739598033
227	0.3739472059
228	0.3739311192
229	0.37392363
230	0.3739132973
231	0.3739086387
232	0.3739033752
233	0.3738678949
234	0.3738636452
235	0.3738507861
236	0.3738421967
237	0.3738342816
238	0.3738257591
239	0.3738080246
240	0.3738027042
241	0.3737927835
242	0.3737831048
243	0.3737670857
244	0.3737592081
245	0.3737401722
246	0.3737292407
247	0.373721234
248	0.3737049247
249	0.3736928442
250	0.3736858315
251	0.3736687361
252	0.3736589441
253	0.3736410679
254	0.3736274919
255	0.3736180086
256	0.3736098251
257	0.3736000201
258	0.3735860334
259	0.3735775078
260	0.3735705651
261	0.3735647913
262	0.3735531909
263	0.3735481276
264	0.3735400635
265	0.3735342039
266	0.3735292111
267	0.3735169681
268	0.3735087908
269	0.373498107
270	0.373490606
271	0.3734848072
272	0.3734807315
273	0.3734670439
274	0.3734431248
275	0.3734292111
276	0.3734134471
277	0.3734083352
278	0.3733976548
279	0.373393924
280	0.373389983
281	0.3733834564
282	0.3733769702
283	0.3733618813
284	0.3733498453
285	0.3733411351
286	0.3733346395
287	0.3733195509
288	0.3733116178
289	0.3733062347
290	0.3732990588
291	0.3732952856
292	0.3732877422
293	0.3732838534
294	0.3732723865
295	0.3732602312
296	0.3732528425
297	0.3732430212
298	0.3732374002
299	0.3732293779
300	0.3732163716
301	0.373212294
302	0.3731999861
303	0.3731893813
304	0.3731822422
305	0.3731752934
306	0.373170151
307	0.3731658586
308	0.3731574389
309	0.3731532447
310	0.3731494296
311	0.3731371501
312	0.3731270496
313	0.3731217306
314	0.3731159792
315	0.3731059204
316	0.3730990982
317	0.3730923004
318	0.3730872517
319	0.373082706
320	0.3730715104
321	0.3730661873
322	0.3730606469
323	0.3730509781
324	0.3730473121
325	0.3730383287
326	0.3730346072
327	0.3730322097
328	0.3730247915
329	0.3730190188
330	0.3730128107
331	0.3730034144
332	0.3730003655
333	0.3729960216
334	0.372990534
335	0.3729852181
336	0.3729800032
337	0.3729734625
338	0.3729702095
339	0.3729548582
340	0.3729497717
341	0.3729430502
342	0.3729399659
343	0.3729346342
344	0.3729279637
345	0.3729200612
346	0.3729127678
347	0.3729070889
348	0.3728959823
349	0.3728876608
350	0.372876747
351	0.3728729596
352	0.3728663251
353	0.3728626291
354	0.3728544409
355	0.3728516311
356	0.3728435816
357	0.3728347873
358	0.372824884
359	0.3728140683
360	0.3728098558
361	0.3728012882
362	0.3727966524
363	0.3727899707
364	0.3727841112
365	0.3727800503
366	0.3727682213
367	0.3727627586
368	0.3727518191
369	0.3727469918
370	0.3727415862
371	0.3727365768
372	0.3727281082
373	0.3727217943
374	0.3727182794
375	0.3727118952
376	0.3727069945
377	0.3727012603
378	0.3726958962
379	0.3726905632
380	0.3726827701
381	0.372678093
382	0.3726739675
383	0.3726679557
384	0.3726651677
385	0.3726624108
386	0.372658167
387	0.372653822
388	0.3726453128
389	0.3726395345
390	0.3726337458
391	0.3726264779
392	0.3726221833
393	0.3726181411
394	0.3726125657
395	0.3726051238
396	0.3726003032
397	0.3725949699
398	0.3725876221
399	0.3725819395
400	0.372579019
401	0.3725761748
402	0.3725735797
403	0.3725693257
404	0.3725672289
405	0.3725628344
406	0.3725567195
407	0.3725533694
408	0.3725484747
409	0.372542477
410	0.3725371467
411	0.3725318642
412	0.3725262257
413	0.3725194006
414	0.3725144566
415	0.3725082079
416	0.3725053228
417	0.372502152
418	0.372499292
419	0.3724954966
420	0.3724910718
421	0.3724878757
422	0.3724855713
423	0.372480226
424	0.3724765471
425	0.3724747835
426	0.3724700039
427	0.372465044
428	0.3724606784
429	0.3724577047
430	0.3724563107
431	0.3724528087
432	0.3724450978
433	0.3724417286
434	0.372437494
435	0.3724348686
436	0.3724307753
437	0.3724196208
438	0.372412723
439	0.3724061683
440	0.372399125
441	0.3723925537
442	0.3723872511
443	0.3723841895
444	0.3723792194
445	0.3723768729
446	0.3723744805
447	0.372370577
448	0.3723684755
449	0.3723640192
450	0.3723608165
451	0.3723565297
452	0.3723524142
453	0.3723478948
454	0.3723405694
455	0.372338439
456	0.3723337787
457	0.3723292856
458	0.3723256869
459	0.3723248603
460	0.3723197637
461	0.3723166725
462	0.3723131818
463	0.372308709
464	0.3723048719
465	0.3722989477
466	0.3722928399
467	0.3722875658
468	0.3722831568
469	0.3722787971
470	0.3722765357
471	0.3722746944
472	0.3722688479
473	0.3722623521
474	0.3722568941
475	0.3722539969
476	0.3722502126
477	0.3722467072
478	0.3722433447
479	0.3722394713
480	0.3722371731
481	0.3722337567
482	0.3722291448
483	0.3722251616
484	0.372223329
485	0.3722190055
486	0.3722145949
487	0.3722126136
488	0.3722093968
489	0.3722040652
490	0.3721927753
491	0.3721898352
492	0.3721850376
493	0.3721817238
494	0.3721795391
495	0.3721765511
496	0.3721750616
497	0.3721714905
498	0.3721668338
499	0.3721617176
500	0.3721530797
501	0.3721508858
502	0.3721480169
503	0.3721445044
504	0.3721429953
505	0.3721382698
506	0.3721343387
507	0.3721305684
508	0.3721250232
509	0.3721233162
510	0.372119094
511	0.3721153362
512	0.372112129
513	0.3721042804
514	0.3721010459
515	0.3720970091
516	0.3720936438
517	0.3720907827
518	0.3720860493
